ID,"Time (s)",Entity,Type/Dir,"Inter-Arrival (s)","Service Time (s)"
1,67.9,Crossers,Crosser,0.0,9.8
2,97.3,Crossers,Crosser,29.4,46.5
3,150.4,Posers,Poser,53.1,32.1
4,201.0,Crossers,Crosser,50.6,9.3
5,244.5,Crossers,Crosser,43.5,9.3
6,325.0,Posers,Poser,9.0,21.4
7,347.4,Crossers,Crosser,22.4,6.4
8,354.6,Crossers,Crosser,7.2,2.5
9,363.3,Posers,Poser,8.7,20.9
10,400.1,Posers,Poser,36.8,21.2
11,438.9,Crossers,Crosser,38.7,8.1
12,452.0,Crossers,Crosser,13.2,8.1
13,468.0,Crossers,Crosser,15.9,8.3
14,517.7,Crossers,Crosser,49.8,9.5
15,533.1,Crossers,Crosser,15.4,3.0
16,541.0,Crossers,Crosser,7.9,5.7
17,547.6,Crossers,Crosser,6.6,4.7
18,562.1,Crossers,Crosser,14.5,5.8
19,595.5,Crossers,Crosser,33.4,12.0
20,612.1,Crossers,Crosser,16.6,11.1
21,624.1,Crossers,Crosser,12.0,7.1
22,772.1,Crossers,Crosser,148.0,9.1
23,902.6,Crossers,Crosser,130.5,10.8
24,984.7,Crossers,Crosser,82.1,8.7
25,1023.0,Crossers,Crosser,38.3,7.3
26,1069.9,Crossers,Crosser,46.9,8.7
27,1085.3,Crossers,Crosser,15.4,6.4
28,1189.2,Posers,Poser,60.1,5.8
29,1207.0,Posers,Poser,17.8,16.2
30,1274.8,Posers,Poser,67.7,10.1
31,1292.6,Posers,Poser,17.8,4.9
32,1326.0,Posers,Poser,33.4,14.1
33,1352.5,Posers,Poser,26.6,7.9
34,1363.6,Posers,Poser,11.1,10.9
35,1392.7,Posers,Poser,29.1,8.6
36,1402.6,Posers,Poser,9.8,8.7
37,1413.4,Crossers,Crosser,10.9,9.1
38,1461.7,Posers,Poser,48.3,6.8
39,1469.2,Crossers,Crosser,7.5,3.2
40,1485.1,Posers,Poser,15.9,6.8
41,1494.2,Posers,Poser,9.1,6.3
42,1501.1,Posers,Poser,6.9,3.9
43,1514.1,Posers,Poser,13.0,11.0
44,1527.8,Crossers,Crosser,13.7,6.6
45,1535.6,Posers,Poser,7.8,3.6
46,1551.5,Posers,Poser,15.8,8.8
47,1562.3,Posers,Poser,10.8,15.1
48,1589.4,Posers,Poser,27.1,7.5
49,1597.9,Crossers,Crosser,8.4,3.8
50,1602.7,Posers,Poser,4.8,12.9
51,1616.3,Crossers,Crosser,13.6,4.1
52,1626.6,Crossers,Crosser,10.4,6.6
53,1650.7,Crossers,Crosser,24.1,3.7
54,1685.9,Crossers,Crosser,35.2,2.7
55,1690.7,Posers,Poser,4.8,3.6
56,1731.8,Posers,Poser,41.1,9.2
57,1747.1,Posers,Poser,15.3,15.5
58,1779.2,Posers,Poser,32.1,14.0
59,1802.8,Posers,Poser,23.6,6.9
60,1816.6,Crossers,Crosser,13.9,8.8
61,1833.3,Posers,Poser,16.7,20.7
62,1867.4,Crossers,Crosser,34.1,5.5
63,1883.2,Crossers,Crosser,15.8,13.0
64,1907.7,Posers,Poser,24.5,31.0
65,1950.3,Posers,Poser,42.6,10.9
66,1970.0,Posers,Poser,19.8,6.8
67,1986.2,Posers,Poser,16.1,21.2
68,2011.6,Crossers,Crosser,25.4,8.9
69,2029.6,Posers,Poser,18.0,8.3
70,2038.8,Posers,Poser,9.2,5.9
71,2063.4,Crossers,Crosser,24.7,6.9
72,2079.7,Posers,Poser,16.2,8.6
73,2094.4,Posers,Poser,14.7,7.9
74,2103.1,Crossers,Crosser,8.7,7.7
75,2133.3,Crossers,Crosser,30.2,8.0
76,2165.3,Crossers,Crosser,32.0,9.2
77,2193.3,Crossers,Crosser,28.0,8.4
78,2246.9,Crossers,Crosser,53.6,1.9
79,2254.2,Crossers,Crosser,7.3,1.7
80,2300.7,Posers,Poser,46.5,7.3
81,2308.9,Crossers,Crosser,8.2,6.0
82,2315.7,Crossers,Crosser,6.8,5.1
83,2321.7,Posers,Poser,6.0,9.9
84,2348.6,Crossers,Crosser,26.9,4.3
85,2392.2,Posers,Poser,43.6,9.0
86,2410.6,Posers,Poser,18.4,6.2
87,2431.0,Crossers,Crosser,20.4,4.6
88,2477.8,Crossers,Crosser,46.8,7.1
89,2498.5,Crossers,Crosser,20.8,5.4
90,2513.7,Crossers,Crosser,15.2,4.1
91,2522.0,Posers,Poser,8.4,4.8
92,2548.0,Crossers,Crosser,25.9,7.8
93,2558.7,Crossers,Crosser,10.7,10.7
94,2595.1,Crossers,Crosser,36.4,12.3
95,2609.3,Crossers,Crosser,14.2,10.6
96,2632.4,Crossers,Crosser,23.1,6.4
97,2640.5,Crossers,Crosser,8.1,10.2
98,2657.0,Posers,Poser,16.5,8.6
99,2695.6,Crossers,Crosser,38.6,20.9
100,2717.5,Crossers,Crosser,21.9,3.0
